timestamp;c;h;l;o
2020-06-13T19:00:00Z;237.956434168;238.849598556;237.956434168;238.347312033
2020-06-13T20:00:00Z;237.961022848;238.11876805;237.506609976;237.56041444
2020-06-13T21:00:00Z;238.309283314;238.409954225;237.944046885;237.944046885
2020-06-13T22:00:00Z;238.776068411;238.934575643;238.485046762;238.485046762
2020-06-13T23:00:00Z;239.013119088;239.178330507;238.962717534;238.989175266
2020-06-14T00:00:00Z;238.961469311;239.011795259;238.704790271;239.011795259
2020-06-14T01:00:00Z;238.600468183;238.979974447;238.600468183;238.979974447
2020-06-14T02:00:00Z;238.797465609;238.952786398;238.504064255;238.504064255
2020-06-14T03:00:00Z;238.422637476;238.863850276;238.422637476;238.524214743
2020-06-14T04:00:00Z;238.182801665;238.703373648;238.153230554;238.57282921
2020-06-14T05:00:00Z;237.317276002;238.207534494;237.135747065;237.978150849
2020-06-14T06:00:00Z;235.531652505;237.366665409;235.178550795;237.334032828
2020-06-14T07:00:00Z;235.898034076;236.02508536;235.083211811;235.083211811
2020-06-14T08:00:00Z;237.116465545;237.116465545;235.822257271;235.822257271
2020-06-14T09:00:00Z;236.610271605;237.278019632;236.610271605;237.074327381
2020-06-14T10:00:00Z;237.021021191;237.059834858;236.467332365;236.667287191
2020-06-14T11:00:00Z;237.196264031;237.512042673;236.769115509;236.769115509
2020-06-14T12:00:00Z;236.3865175;237.24898563;236.288466735;237.043434677
2020-06-14T13:00:00Z;236.305473427;236.375043488;236.004826033;236.375043488
2020-06-14T14:00:00Z;235.288930897;236.201744083;234.975880357;236.185180199
2020-06-14T15:00:00Z;236.332652862;236.332652862;235.354753181;235.354753181
2020-06-14T16:00:00Z;235.519004959;236.261188973;235.519004959;236.261188973
2020-06-14T17:00:00Z;235.622197861;235.886358748;235.362834432;235.683642373
2020-06-14T18:00:00Z;235.553232448;235.73546375;235.364851708;235.73546375
2020-06-14T19:00:00Z;236.027658981;236.061999986;235.464544961;235.464544961
2020-06-14T20:00:00Z;235.598578501;236.003782955;234.973346038;235.920388196
2020-06-14T21:00:00Z;234.246063921;235.658439118;234.246063921;235.658439118
2020-06-14T22:00:00Z;234.172553087;234.217771088;233.224413117;234.217771088
2020-06-14T23:00:00Z;234.114695213;234.68508968;234.06843482;234.176238378
2020-06-15T00:00:00Z;233.655143778;234.101311685;233.413141919;233.610910844
2020-06-15T01:00:00Z;232.11730286;234.110975886;232.11730286;233.767971604
2020-06-15T02:00:00Z;230.958973063;232.225542145;230.222450408;232.182984301
2020-06-15T03:00:00Z;227.427429477;230.629117124;227.338629572;230.629117124
2020-06-15T04:00:00Z;228.199026806;228.513292499;227.460961461;227.460961461
2020-06-15T05:00:00Z;223.6417633;228.036615207;223.6417633;228.036615207
2020-06-15T06:00:00Z;222.322062184;224.242392046;221.369726135;223.827263999
2020-06-15T07:00:00Z;225.276464201;225.276464201;222.962698787;222.962698787
2020-06-15T08:00:00Z;225.698005372;225.874302782;224.965878852;225.191829659
2020-06-15T09:00:00Z;225.681269211;225.681269211;224.901341221;225.551443373
2020-06-15T10:00:00Z;224.609787701;225.585692842;224.609787701;225.439758593
2020-06-15T11:00:00Z;224.429220194;224.816381238;223.744087265;224.064411031
2020-06-15T12:00:00Z;223.877083766;224.798994426;223.866790477;224.438764117
2020-06-15T13:00:00Z;223.962525311;224.083516891;222.648483844;224.083516891
2020-06-15T14:00:00Z;225.923440077;226.275488464;224.935673847;224.935673847
2020-06-15T15:00:00Z;227.407084467;227.407084467;225.817524159;225.817524159
2020-06-15T16:00:00Z;229.336693185;229.336693185;227.52423362;227.52423362
2020-06-15T17:00:00Z;229.279654822;229.736385683;229.075419823;229.310126393
2020-06-15T18:00:00Z;231.871676919;232.504694756;229.207934239;229.207934239
2020-06-15T19:00:00Z;232.773188357;233.614486594;232.250746048;232.364735779
2020-06-15T20:00:00Z;232.412494814;233.704252419;231.947369425;233.285962616
2020-06-15T21:00:00Z;232.759598573;234.01653117;232.372377287;232.372377287
2020-06-15T22:00:00Z;229.354043803;233.582675419;229.354043803;232.843168816
2020-06-15T23:00:00Z;230.154956193;231.207593103;229.865020083;230.891504599
2020-06-16T00:00:00Z;230.492838936;230.492838936;229.741155465;229.741155465
2020-06-16T01:00:00Z;230.389744915;230.974858583;229.775041577;230.910007766
2020-06-16T02:00:00Z;230.239939835;230.782844736;228.42614419;230.448697532
2020-06-16T03:00:00Z;233.644573066;234.291398016;230.731990454;230.731990454
2020-06-16T04:00:00Z;232.195405645;233.851021388;231.91654355;233.851021388
2020-06-16T05:00:00Z;232.14974258;233.262108778;232.14974258;232.934459936
2020-06-16T06:00:00Z;230.780110494;232.81776482;230.780110494;232.213595957
2020-06-16T07:00:00Z;233.192076429;233.192076429;230.962793607;230.962793607
2020-06-16T08:00:00Z;232.246701751;233.149206917;231.116560423;233.149206917
2020-06-16T09:00:00Z;233.765348815;233.966318334;231.774868313;231.774868313
2020-06-16T10:00:00Z;234.755132282;234.755132282;232.582354417;233.876657361
2020-06-16T11:00:00Z;234.952912061;235.617222204;234.359876416;235.00285425
2020-06-16T12:00:00Z;235.89801815;235.89801815;234.498393988;235.163629526
2020-06-16T13:00:00Z;235.054372066;236.394304557;234.911281529;236.394304557
2020-06-16T14:00:00Z;233.719435472;235.266177366;233.660201952;235.220485832
2020-06-16T15:00:00Z;234.030957361;234.147920761;233.426020718;233.426020718
2020-06-16T16:00:00Z;233.864213896;234.166882791;233.298255963;234.110352442
2020-06-16T17:00:00Z;234.596342995;235.045294806;233.995486253;234.354701771
2020-06-16T18:00:00Z;234.38752242;234.658326264;233.090963156;234.658326264
2020-06-16T19:00:00Z;233.985408818;233.985408818;232.568775803;233.933601144
2020-06-16T20:00:00Z;234.504618002;234.540997919;233.12226057;234.050063244
2020-06-16T21:00:00Z;234.885092385;235.214238236;234.073800358;234.073800358
2020-06-16T22:00:00Z;235.510943011;236.084393831;233.939363848;235.400597549
2020-06-16T23:00:00Z;234.543202211;235.856863993;234.543202211;235.514993276
2020-06-17T00:00:00Z;232.931599008;234.518813575;232.931599008;234.490742915
2020-06-17T01:00:00Z;231.868207729;234.216507164;231.868207729;233.947260615
2020-06-17T02:00:00Z;232.940546511;232.940546511;231.584477139;232.085566268
2020-06-17T03:00:00Z;233.322899997;233.420306749;230.961742301;232.906057947
2020-06-17T04:00:00Z;233.53335443;233.53335443;233.08544586;233.299853859
2020-06-17T05:00:00Z;233.102447548;233.620361881;232.084576697;233.514760767
2020-06-17T06:00:00Z;233.885356644;234.153702636;233.012380228;233.072493062
2020-06-17T07:00:00Z;234.453636751;234.734245278;233.710650518;233.710650518
